seq,timestamp,rtt_ms,jitter_ms,status
1,2026-08-07T22:53:23.711,3.535,,OK
2,2026-08-07T22:53:23.962,3.4928,0.0422,OK
3,2026-08-07T22:53:24.212,3.5836,0.0908,OK
4,2026-08-07T22:53:24.462,3.3303,0.2533,OK
5,2026-08-07T22:53:24.711,3.8101,0.4798,OK
6,2026-08-07T22:53:24.976,3.4478,0.3623,OK
7,2026-08-07T22:53:25.212,3.4002,0.0476,OK
8,2026-08-07T22:53:25.466,2.738,0.6622,OK
9,2026-08-07T22:53:25.718,3.5456,0.8076,OK
10,2026-08-07T22:53:25.969,3.286,0.2596,OK
11,2026-08-07T22:53:26.220,3.6708,0.3848,OK
12,2026-08-07T22:53:26.473,3.412,0.2588,OK
13,2026-08-07T22:53:26.723,3.2812,0.1308,OK
14,2026-08-07T22:53:26.973,3.3142,0.033,OK
15,2026-08-07T22:53:27.222,3.3918,0.0776,OK
16,2026-08-07T22:53:27.472,3.2677,0.1241,OK
17,2026-08-07T22:53:27.723,3.3238,0.0561,OK
18,2026-08-07T22:53:27.973,3.5998,0.276,OK
19,2026-08-07T22:53:28.225,3.3557,0.2441,OK
20,2026-08-07T22:53:28.476,3.3446,0.0111,OK
21,2026-08-07T22:53:28.727,3.5161,0.1715,OK
22,2026-08-07T22:53:28.974,3.3925,0.1236,OK
23,2026-08-07T22:53:29.223,3.464,0.0715,OK
24,2026-08-07T22:53:29.474,3.5832,0.1192,OK
25,2026-08-07T22:53:29.724,3.3063,0.2769,OK
26,2026-08-07T22:53:29.975,3.5085,0.2022,OK
27,2026-08-07T22:53:30.224,3.2983,0.2102,OK
28,2026-08-07T22:53:30.475,3.3731,0.0748,OK
29,2026-08-07T22:53:30.712,3.2986,0.0745,OK
30,2026-08-07T22:53:30.963,3.3641,0.0655,OK
31,2026-08-07T22:53:31.213,3.3518,0.0123,OK
32,2026-08-07T22:53:31.464,3.7028,0.351,OK
33,2026-08-07T22:53:31.715,3.5684,0.1344,OK
34,2026-08-07T22:53:31.966,3.405,0.1634,OK
35,2026-08-07T22:53:32.217,3.344,0.061,OK
36,2026-08-07T22:53:32.467,3.4484,0.1044,OK
37,2026-08-07T22:53:32.718,3.3683,0.0801,OK
38,2026-08-07T22:53:32.969,3.3349,0.0334,OK
39,2026-08-07T22:53:33.220,3.4145,0.0796,OK
40,2026-08-07T22:53:33.470,3.3679,0.0466,OK
41,2026-08-07T22:53:33.721,3.3783,0.0104,OK
42,2026-08-07T22:53:33.972,3.3671,0.0112,OK
43,2026-08-07T22:53:34.224,3.4828,0.1157,OK
44,2026-08-07T22:53:34.475,3.5658,0.083,OK
45,2026-08-07T22:53:34.726,4.5127,0.9469,OK
46,2026-08-07T22:53:34.977,3.1302,1.3825,OK
47,2026-08-07T22:53:35.215,5.7687,2.6385,OK
48,2026-08-07T22:53:35.467,5.8385,0.0698,OK
49,2026-08-07T22:53:35.715,3.5306,2.3079,OK
50,2026-08-07T22:53:35.966,3.4514,0.0792,OK
51,2026-08-07T22:53:36.217,3.546,0.0946,OK
52,2026-08-07T22:53:36.467,3.3631,0.1829,OK
53,2026-08-07T22:53:36.716,3.659,0.2959,OK
54,2026-08-07T22:53:36.967,3.3828,0.2762,OK
55,2026-08-07T22:53:37.216,3.5167,0.1339,OK
56,2026-08-07T22:53:37.466,3.3612,0.1555,OK
57,2026-08-07T22:53:37.714,3.4276,0.0664,OK
58,2026-08-07T22:53:37.965,3.6211,0.1935,OK
59,2026-08-07T22:53:38.217,4.0309,0.4098,OK
60,2026-08-07T22:53:38.466,3.4605,0.5704,OK
61,2026-08-07T22:53:38.719,3.8231,0.3626,OK
62,2026-08-07T22:53:38.966,3.3406,0.4825,OK
63,2026-08-07T22:53:39.215,3.403,0.0624,OK
64,2026-08-07T22:53:39.465,3.3881,0.0149,OK
65,2026-08-07T22:53:39.717,3.3788,0.0093,OK
66,2026-08-07T22:53:39.968,3.2415,0.1373,OK
67,2026-08-07T22:53:40.218,3.2542,0.0127,OK
68,2026-08-07T22:53:40.470,3.3826,0.1284,OK
69,2026-08-07T22:53:40.721,3.3289,0.0537,OK
70,2026-08-07T22:53:40.971,3.4202,0.0913,OK
71,2026-08-07T22:53:41.224,3.5457,0.1255,OK
72,2026-08-07T22:53:41.474,3.4074,0.1383,OK
73,2026-08-07T22:53:41.725,3.5579,0.1505,OK
74,2026-08-07T22:53:41.973,3.4835,0.0744,OK
75,2026-08-07T22:53:42.222,3.3259,0.1576,OK
76,2026-08-07T22:53:42.474,3.0885,0.2374,OK
77,2026-08-07T22:53:42.724,3.3365,0.248,OK
78,2026-08-07T22:53:42.973,3.0975,0.239,OK
79,2026-08-07T22:53:43.225,3.485,0.3875,OK
80,2026-08-07T22:53:43.474,3.3808,0.1042,OK
81,2026-08-07T22:53:43.725,3.3334,0.0474,OK
82,2026-08-07T22:53:43.973,3.3299,0.0035,OK
83,2026-08-07T22:53:44.222,3.3367,0.0068,OK
84,2026-08-07T22:53:44.472,3.4452,0.1085,OK
85,2026-08-07T22:53:44.722,3.2325,0.2127,OK
86,2026-08-07T22:53:44.972,3.4029,0.1704,OK
87,2026-08-07T22:53:45.223,3.487,0.0841,OK
88,2026-08-07T22:53:45.473,3.5515,0.0645,OK
89,2026-08-07T22:53:45.722,3.5406,0.0109,OK
90,2026-08-07T22:53:45.972,3.5974,0.0568,OK
91,2026-08-07T22:53:46.222,3.6933,0.0959,OK
92,2026-08-07T22:53:46.474,3.3858,0.3075,OK
93,2026-08-07T22:53:46.724,3.4122,0.0264,OK
94,2026-08-07T22:53:46.975,3.3388,0.0734,OK
95,2026-08-07T22:53:47.211,3.4969,0.1581,OK
96,2026-08-07T22:53:47.477,3.1171,0.3798,OK
97,2026-08-07T22:53:47.712,3.4869,0.3698,OK
98,2026-08-07T22:53:47.962,4.1436,0.6567,OK
99,2026-08-07T22:53:48.215,3.3551,0.7885,OK
100,2026-08-07T22:53:48.471,3.5731,0.218,OK
101,2026-08-07T22:53:48.724,3.3789,0.1942,OK
102,2026-08-07T22:53:48.973,3.363,0.0159,OK
103,2026-08-07T22:53:49.221,3.2745,0.0885,OK
104,2026-08-07T22:53:49.471,3.4439,0.1694,OK
105,2026-08-07T22:53:49.723,3.3711,0.0728,OK
106,2026-08-07T22:53:49.972,3.578,0.2069,OK
107,2026-08-07T22:53:50.221,3.3693,0.2087,OK
108,2026-08-07T22:53:50.471,3.5785,0.2092,OK
109,2026-08-07T22:53:50.720,3.4486,0.1299,OK
110,2026-08-07T22:53:50.970,3.4132,0.0354,OK
111,2026-08-07T22:53:51.219,3.4823,0.0691,OK
112,2026-08-07T22:53:51.469,3.1777,0.3046,OK
113,2026-08-07T22:53:51.720,3.4091,0.2314,OK
114,2026-08-07T22:53:51.969,3.2422,0.1669,OK
115,2026-08-07T22:53:52.222,3.4429,0.2007,OK
116,2026-08-07T22:53:52.472,3.6022,0.1593,OK
117,2026-08-07T22:53:52.723,3.4467,0.1555,OK
118,2026-08-07T22:53:52.975,3.3493,0.0974,OK
119,2026-08-07T22:53:53.225,3.5489,0.1996,OK
120,2026-08-07T22:53:53.461,3.5529,0.004,OK
121,2026-08-07T22:53:53.713,3.457,0.0959,OK
122,2026-08-07T22:53:53.965,3.4048,0.0522,OK
123,2026-08-07T22:53:54.215,3.6153,0.2105,OK
124,2026-08-07T22:53:54.466,3.4993,0.116,OK
125,2026-08-07T22:53:54.716,3.571,0.0717,OK
126,2026-08-07T22:53:54.968,3.6856,0.1146,OK
127,2026-08-07T22:53:55.219,3.6294,0.0562,OK
128,2026-08-07T22:53:55.470,3.4233,0.2061,OK
129,2026-08-07T22:53:55.721,3.4835,0.0602,OK
130,2026-08-07T22:53:55.973,3.4231,0.0604,OK
131,2026-08-07T22:53:56.222,3.2608,0.1623,OK
132,2026-08-07T22:53:56.473,3.4088,0.148,OK
133,2026-08-07T22:53:56.722,3.4149,0.0061,OK
134,2026-08-07T22:53:56.973,3.4309,0.016,OK
135,2026-08-07T22:53:57.224,3.5462,0.1153,OK
136,2026-08-07T22:53:57.460,3.4537,0.0925,OK
137,2026-08-07T22:53:57.726,3.5483,0.0946,OK
138,2026-08-07T22:53:57.978,3.5268,0.0215,OK
139,2026-08-07T22:53:58.226,3.6258,0.099,OK
140,2026-08-07T22:53:58.475,3.458,0.1678,OK
141,2026-08-07T22:53:58.725,3.2972,0.1608,OK
142,2026-08-07T22:53:58.961,3.3789,0.0817,OK
143,2026-08-07T22:53:59.225,3.539,0.1601,OK
144,2026-08-07T22:53:59.475,4.0231,0.4841,OK
145,2026-08-07T22:53:59.724,3.258,0.7651,OK
146,2026-08-07T22:53:59.973,3.3865,0.1285,OK
147,2026-08-07T22:54:00.223,3.4253,0.0388,OK
148,2026-08-07T22:54:00.476,3.2999,0.1254,OK
149,2026-08-07T22:54:00.727,3.4975,0.1976,OK
150,2026-08-07T22:54:00.961,3.4402,0.0573,OK
151,2026-08-07T22:54:01.212,3.4641,0.0239,OK
152,2026-08-07T22:54:01.461,3.4471,0.017,OK
153,2026-08-07T22:54:01.713,3.3145,0.1326,OK
154,2026-08-07T22:54:01.964,3.4503,0.1358,OK
155,2026-08-07T22:54:02.215,3.7052,0.2549,OK
156,2026-08-07T22:54:02.463,3.4665,0.2387,OK
