seq,timestamp,rtt_ms,jitter_ms,status
1,2026-08-07T22:34:31.495,4.7792,,OK
2,2026-08-07T22:34:31.757,3.3916,1.3876,OK
3,2026-08-07T22:34:32.001,3.4427,0.0511,OK
4,2026-08-07T22:34:32.246,3.5222,0.0795,OK
5,2026-08-07T22:34:32.495,3.4571,0.0651,OK
6,2026-08-07T22:34:32.747,3.2743,0.1828,OK
7,2026-08-07T22:34:32.999,3.2637,0.0106,OK
8,2026-08-07T22:34:33.244,3.6214,0.3577,OK
9,2026-08-07T22:34:33.503,3.8435,0.2221,OK
10,2026-08-07T22:34:33.750,3.3652,0.4783,OK
11,2026-08-07T22:34:33.995,3.0509,0.3143,OK
12,2026-08-07T22:34:34.257,3.5726,0.5217,OK
13,2026-08-07T22:34:34.495,3.4668,0.1058,OK
14,2026-08-07T22:34:34.759,3.5828,0.116,OK
15,2026-08-07T22:34:35.005,3.5328,0.05,OK
16,2026-08-07T22:34:35.249,3.4828,0.05,OK
17,2026-08-07T22:34:35.507,3.5248,0.042,OK
18,2026-08-07T22:34:35.754,3.642,0.1172,OK
19,2026-08-07T22:34:36.001,4.3671,0.7251,OK
20,2026-08-07T22:34:36.255,3.3323,1.0348,OK
21,2026-08-07T22:34:36.499,3.2796,0.0527,OK
22,2026-08-07T22:34:36.752,3.2877,0.0081,OK
23,2026-08-07T22:34:37.007,3.4026,0.1149,OK
24,2026-08-07T22:34:37.243,3.3991,0.0035,OK
25,2026-08-07T22:34:37.506,3.4246,0.0255,OK
26,2026-08-07T22:34:37.750,3.4088,0.0158,OK
27,2026-08-07T22:34:37.995,3.6683,0.2595,OK
28,2026-08-07T22:34:38.255,3.4277,0.2406,OK
29,2026-08-07T22:34:38.502,3.3979,0.0298,OK
30,2026-08-07T22:34:38.752,3.5033,0.1054,OK
31,2026-08-07T22:34:39.004,3.611,0.1077,OK
32,2026-08-07T22:34:39.254,3.3581,0.2529,OK
33,2026-08-07T22:34:39.496,3.4875,0.1294,OK
34,2026-08-07T22:34:39.751,3.9368,0.4493,OK
35,2026-08-07T22:34:40.007,3.5487,0.3881,OK
36,2026-08-07T22:34:40.252,3.6706,0.1219,OK
37,2026-08-07T22:34:40.508,3.8884,0.2178,OK
38,2026-08-07T22:34:40.755,3.403,0.4854,OK
39,2026-08-07T22:34:41.004,3.823,0.42,OK
40,2026-08-07T22:34:41.251,3.3785,0.4445,OK
41,2026-08-07T22:34:41.498,3.3696,0.0089,OK
42,2026-08-07T22:34:41.745,3.8409,0.4713,OK
43,2026-08-07T22:34:42.000,3.7483,0.0926,OK
44,2026-08-07T22:34:42.256,3.6868,0.0615,OK
45,2026-08-07T22:34:42.499,3.6289,0.0579,OK
46,2026-08-07T22:34:42.744,3.5391,0.0898,OK
47,2026-08-07T22:34:42.996,3.7642,0.2251,OK
48,2026-08-07T22:34:43.253,3.2928,0.4714,OK
49,2026-08-07T22:34:43.501,3.3354,0.0426,OK
50,2026-08-07T22:34:43.744,3.4132,0.0778,OK
51,2026-08-07T22:34:43.996,3.7047,0.2915,OK
52,2026-08-07T22:34:44.251,3.687,0.0177,OK
53,2026-08-07T22:34:44.501,3.3295,0.3575,OK
54,2026-08-07T22:34:44.744,3.6041,0.2746,OK
55,2026-08-07T22:34:45.005,4.0715,0.4674,OK
56,2026-08-07T22:34:45.251,3.5351,0.5364,OK
57,2026-08-07T22:34:45.501,3.9713,0.4362,OK
58,2026-08-07T22:34:45.751,3.84,0.1313,OK
59,2026-08-07T22:34:46.001,3.4588,0.3812,OK
60,2026-08-07T22:34:46.247,3.8544,0.3956,OK
61,2026-08-07T22:34:46.494,3.6513,0.2031,OK
62,2026-08-07T22:34:46.750,3.2877,0.3636,OK
63,2026-08-07T22:34:47.008,3.5022,0.2145,OK
64,2026-08-07T22:34:47.248,3.2446,0.2576,OK
65,2026-08-07T22:34:47.502,3.444,0.1994,OK
66,2026-08-07T22:34:47.744,3.4754,0.0314,OK
67,2026-08-07T22:34:47.996,3.6102,0.1348,OK
68,2026-08-07T22:34:48.257,3.4177,0.1925,OK
69,2026-08-07T22:34:48.497,3.4822,0.0645,OK
70,2026-08-07T22:34:48.751,3.4844,0.0022,OK
71,2026-08-07T22:34:48.999,3.2482,0.2362,OK
72,2026-08-07T22:34:49.254,3.4755,0.2273,OK
73,2026-08-07T22:34:49.494,3.3796,0.0959,OK
74,2026-08-07T22:34:49.753,3.3555,0.0241,OK
75,2026-08-07T22:34:49.997,3.5072,0.1517,OK
76,2026-08-07T22:34:50.257,3.4985,0.0087,OK
77,2026-08-07T22:34:50.497,3.263,0.2355,OK
78,2026-08-07T22:34:50.758,3.8153,0.5523,OK
79,2026-08-07T22:34:51.000,3.5753,0.24,OK
80,2026-08-07T22:34:51.251,3.3506,0.2247,OK
81,2026-08-07T22:34:51.503,3.4881,0.1375,OK
82,2026-08-07T22:34:51.744,3.8061,0.318,OK
83,2026-08-07T22:34:51.996,4.348,0.5419,OK
84,2026-08-07T22:34:52.257,3.3842,0.9638,OK
85,2026-08-07T22:34:52.502,3.6424,0.2582,OK
86,2026-08-07T22:34:52.751,3.7494,0.107,OK
87,2026-08-07T22:34:53.000,3.2841,0.4653,OK
88,2026-08-07T22:34:53.253,3.3585,0.0744,OK
89,2026-08-07T22:34:53.501,3.5299,0.1714,OK
90,2026-08-07T22:34:53.749,3.194,0.3359,OK
91,2026-08-07T22:34:54.003,3.1156,0.0784,OK
92,2026-08-07T22:34:54.253,3.3483,0.2327,OK
93,2026-08-07T22:34:54.506,3.4394,0.0911,OK
94,2026-08-07T22:34:54.744,3.3791,0.0603,OK
95,2026-08-07T22:34:54.999,3.3678,0.0113,OK
