seq,timestamp,rtt_ms,jitter_ms,status
1,2026-08-07T22:51:36.809,3.5451,,OK
2,2026-08-07T22:51:37.062,3.3687,0.1764,OK
3,2026-08-07T22:51:37.323,3.4988,0.1301,OK
4,2026-08-07T22:51:37.575,3.4557,0.0431,OK
5,2026-08-07T22:51:37.811,3.6852,0.2295,OK
6,2026-08-07T22:51:38.062,3.395,0.2902,OK
7,2026-08-07T22:51:38.315,3.6055,0.2105,OK
8,2026-08-07T22:51:38.571,4.1355,0.53,OK
9,2026-08-07T22:51:38.817,3.6116,0.5239,OK
10,2026-08-07T22:51:39.069,4.5357,0.9241,OK
11,2026-08-07T22:51:39.317,3.3308,1.2049,OK
12,2026-08-07T22:51:39.571,3.4972,0.1664,OK
13,2026-08-07T22:51:39.822,3.4174,0.0798,OK
14,2026-08-07T22:51:40.071,3.2751,0.1423,OK
15,2026-08-07T22:51:40.322,3.2683,0.0068,OK
16,2026-08-07T22:51:40.576,3.5434,0.2751,OK
17,2026-08-07T22:51:40.811,3.3404,0.203,OK
18,2026-08-07T22:51:41.060,3.403,0.0626,OK
19,2026-08-07T22:51:41.314,3.2437,0.1593,OK
20,2026-08-07T22:51:41.565,3.2054,0.0383,OK
21,2026-08-07T22:51:41.815,3.4986,0.2932,OK
22,2026-08-07T22:51:42.067,3.4398,0.0588,OK
23,2026-08-07T22:51:42.317,3.4,0.0398,OK
24,2026-08-07T22:51:42.567,3.5872,0.1872,OK
25,2026-08-07T22:51:42.815,3.3932,0.194,OK
26,2026-08-07T22:51:43.068,3.7388,0.3456,OK
27,2026-08-07T22:51:43.319,3.4757,0.2631,OK
28,2026-08-07T22:51:43.572,3.5101,0.0344,OK
29,2026-08-07T22:51:43.824,3.4334,0.0767,OK
30,2026-08-07T22:51:44.061,3.5595,0.1261,OK
31,2026-08-07T22:51:44.313,3.472,0.0875,OK
32,2026-08-07T22:51:44.565,3.2785,0.1935,OK
33,2026-08-07T22:51:44.817,3.3774,0.0989,OK
34,2026-08-07T22:51:45.066,3.3962,0.0188,OK
35,2026-08-07T22:51:45.317,3.5242,0.128,OK
36,2026-08-07T22:51:45.567,3.4072,0.117,OK
37,2026-08-07T22:51:45.818,3.5361,0.1289,OK
