seq,timestamp,rtt_ms,jitter_ms,status
1,2026-08-07T22:44:42.009,3.1741,,OK
2,2026-08-07T22:44:42.264,3.1762,0.0021,OK
3,2026-08-07T22:44:42.514,3.2185,0.0423,OK
4,2026-08-07T22:44:42.763,3.3219,0.1034,OK
5,2026-08-07T22:44:43.013,3.8539,0.532,OK
6,2026-08-07T22:44:43.266,3.6614,0.1925,OK
7,2026-08-07T22:44:43.519,3.2784,0.383,OK
8,2026-08-07T22:44:43.768,3.4114,0.133,OK
9,2026-08-07T22:44:44.019,3.3339,0.0775,OK
10,2026-08-07T22:44:44.270,3.704,0.3701,OK
11,2026-08-07T22:44:44.519,3.5611,0.1429,OK
12,2026-08-07T22:44:44.770,3.3891,0.172,OK
13,2026-08-07T22:44:45.019,3.4658,0.0767,OK
14,2026-08-07T22:44:45.271,3.4188,0.047,OK
15,2026-08-07T22:44:45.521,3.6164,0.1976,OK
16,2026-08-07T22:44:45.771,3.4554,0.161,OK
17,2026-08-07T22:44:46.021,3.6082,0.1528,OK
18,2026-08-07T22:44:46.272,3.5826,0.0256,OK
19,2026-08-07T22:44:46.522,3.503,0.0796,OK
20,2026-08-07T22:44:46.774,3.6162,0.1132,OK
21,2026-08-07T22:44:47.025,3.5324,0.0838,OK
22,2026-08-07T22:44:47.259,3.6921,0.1597,OK
23,2026-08-07T22:44:47.511,3.8276,0.1355,OK
24,2026-08-07T22:44:47.762,3.787,0.0406,OK
25,2026-08-07T22:44:48.013,3.8581,0.0711,OK
26,2026-08-07T22:44:48.263,3.407,0.4511,OK
27,2026-08-07T22:44:48.514,3.7276,0.3206,OK
28,2026-08-07T22:44:48.765,3.14,0.5876,OK
29,2026-08-07T22:44:49.014,3.1724,0.0324,OK
30,2026-08-07T22:44:49.266,3.3623,0.1899,OK
31,2026-08-07T22:44:49.517,3.2291,0.1332,OK
32,2026-08-07T22:44:49.766,3.4686,0.2395,OK
33,2026-08-07T22:44:50.018,3.4153,0.0533,OK
34,2026-08-07T22:44:50.268,3.2573,0.158,OK
35,2026-08-07T22:44:50.519,3.3941,0.1368,OK
36,2026-08-07T22:44:50.768,3.186,0.2081,OK
37,2026-08-07T22:44:51.021,3.1633,0.0227,OK
38,2026-08-07T22:44:51.272,3.4276,0.2643,OK
39,2026-08-07T22:44:51.522,3.5225,0.0949,OK
40,2026-08-07T22:44:51.774,3.5406,0.0181,OK
41,2026-08-07T22:44:52.024,3.631,0.0904,OK
42,2026-08-07T22:44:52.260,3.4655,0.1655,OK
43,2026-08-07T22:44:52.524,3.4698,0.0043,OK
44,2026-08-07T22:44:52.773,3.7188,0.249,OK
45,2026-08-07T22:44:53.023,3.8132,0.0944,OK
46,2026-08-07T22:44:53.271,3.5944,0.2188,OK
47,2026-08-07T22:44:53.519,3.0816,0.5128,OK
48,2026-08-07T22:44:53.773,6.2586,3.177,OK
49,2026-08-07T22:44:54.021,3.3547,2.9039,OK
50,2026-08-07T22:44:54.272,3.7861,0.4314,OK
51,2026-08-07T22:44:54.522,3.6855,0.1006,OK
52,2026-08-07T22:44:54.772,3.4367,0.2488,OK
53,2026-08-07T22:44:55.023,3.5318,0.0951,OK
54,2026-08-07T22:44:55.271,3.4293,0.1025,OK
55,2026-08-07T22:44:55.521,3.4932,0.0639,OK
56,2026-08-07T22:44:55.773,3.5972,0.104,OK
57,2026-08-07T22:44:56.020,3.214,0.3832,OK
58,2026-08-07T22:44:56.270,3.2484,0.0344,OK
59,2026-08-07T22:44:56.519,3.6176,0.3692,OK
60,2026-08-07T22:44:56.769,3.1028,0.5148,OK
61,2026-08-07T22:44:57.018,3.3728,0.27,OK
62,2026-08-07T22:44:57.269,3.6132,0.2404,OK
63,2026-08-07T22:44:57.517,3.5884,0.0248,OK
64,2026-08-07T22:44:57.767,3.4701,0.1183,OK
65,2026-08-07T22:44:58.016,3.6507,0.1806,OK
66,2026-08-07T22:44:58.267,3.7211,0.0704,OK
67,2026-08-07T22:44:58.518,3.4888,0.2323,OK
68,2026-08-07T22:44:58.770,3.6921,0.2033,OK
69,2026-08-07T22:44:59.015,3.4181,0.274,OK
70,2026-08-07T22:44:59.264,3.4685,0.0504,OK
71,2026-08-07T22:44:59.514,3.6862,0.2177,OK
72,2026-08-07T22:44:59.764,3.47,0.2162,OK
73,2026-08-07T22:45:00.015,3.5464,0.0764,OK
74,2026-08-07T22:45:00.264,3.4142,0.1322,OK
75,2026-08-07T22:45:00.514,3.8692,0.455,OK
76,2026-08-07T22:45:00.765,3.4958,0.3734,OK
77,2026-08-07T22:45:01.015,3.3927,0.1031,OK
78,2026-08-07T22:45:01.265,3.2016,0.1911,OK
79,2026-08-07T22:45:01.515,3.391,0.1894,OK
80,2026-08-07T22:45:01.766,3.3297,0.0613,OK
81,2026-08-07T22:45:02.014,3.3425,0.0128,OK
82,2026-08-07T22:45:02.267,3.7295,0.387,OK
83,2026-08-07T22:45:02.517,3.4733,0.2562,OK
84,2026-08-07T22:45:02.765,3.2499,0.2234,OK
85,2026-08-07T22:45:03.016,3.704,0.4541,OK
86,2026-08-07T22:45:03.266,3.5982,0.1058,OK
87,2026-08-07T22:45:03.516,3.5583,0.0399,OK
88,2026-08-07T22:45:03.766,3.7982,0.2399,OK
89,2026-08-07T22:45:04.016,3.6273,0.1709,OK
90,2026-08-07T22:45:04.267,3.374,0.2533,OK
91,2026-08-07T22:45:04.518,3.5279,0.1539,OK
