seq,timestamp,rtt_ms,jitter_ms,status
1,2026-08-07T22:42:02.821,3.4746,,OK
2,2026-08-07T22:42:03.082,3.3226,0.152,OK
3,2026-08-07T22:42:03.331,3.2566,0.066,OK
4,2026-08-07T22:42:03.580,3.4163,0.1597,OK
5,2026-08-07T22:42:03.829,3.2882,0.1281,OK
6,2026-08-07T22:42:04.079,3.405,0.1168,OK
7,2026-08-07T22:42:04.331,3.3175,0.0875,OK
8,2026-08-07T22:42:04.584,3.4746,0.1571,OK
9,2026-08-07T22:42:04.837,3.2752,0.1994,OK
10,2026-08-07T22:42:05.071,2.8762,0.399,OK
11,2026-08-07T22:42:05.335,3.2523,0.3761,OK
12,2026-08-07T22:42:05.571,3.3548,0.1025,OK
13,2026-08-07T22:42:05.824,3.5598,0.205,OK
14,2026-08-07T22:42:06.075,3.196,0.3638,OK
15,2026-08-07T22:42:06.327,3.2641,0.0681,OK
16,2026-08-07T22:42:06.583,3.4022,0.1381,OK
17,2026-08-07T22:42:06.833,3.2287,0.1735,OK
18,2026-08-07T22:42:07.086,3.4573,0.2286,OK
19,2026-08-07T22:42:07.322,3.2391,0.2182,OK
20,2026-08-07T22:42:07.576,3.6905,0.4514,OK
21,2026-08-07T22:42:07.827,3.2462,0.4443,OK
22,2026-08-07T22:42:08.079,3.2716,0.0254,OK
23,2026-08-07T22:42:08.328,3.4567,0.1851,OK
24,2026-08-07T22:42:08.577,3.5298,0.0731,OK
25,2026-08-07T22:42:08.828,3.3602,0.1696,OK
26,2026-08-07T22:42:09.077,3.378,0.0178,OK
27,2026-08-07T22:42:09.327,3.3851,0.0071,OK
28,2026-08-07T22:42:09.578,3.3595,0.0256,OK
29,2026-08-07T22:42:09.830,3.1051,0.2544,OK
30,2026-08-07T22:42:10.082,3.4718,0.3667,OK
31,2026-08-07T22:42:10.331,3.4811,0.0093,OK
32,2026-08-07T22:42:10.581,3.6154,0.1343,OK
33,2026-08-07T22:42:10.832,3.4989,0.1165,OK
34,2026-08-07T22:42:11.082,3.2981,0.2008,OK
35,2026-08-07T22:42:11.334,3.813,0.5149,OK
36,2026-08-07T22:42:11.584,4.2277,0.4147,OK
37,2026-08-07T22:42:11.832,3.2987,0.929,OK
38,2026-08-07T22:42:12.079,3.6816,0.3829,OK
39,2026-08-07T22:42:12.329,3.588,0.0936,OK
40,2026-08-07T22:42:12.579,3.3867,0.2013,OK
41,2026-08-07T22:42:12.830,3.6025,0.2158,OK
42,2026-08-07T22:42:13.078,3.3321,0.2704,OK
43,2026-08-07T22:42:13.328,3.2712,0.0609,OK
44,2026-08-07T22:42:13.578,3.2624,0.0088,OK
45,2026-08-07T22:42:13.829,3.3764,0.114,OK
46,2026-08-07T22:42:14.080,3.6665,0.2901,OK
47,2026-08-07T22:42:14.331,3.2634,0.4031,OK
48,2026-08-07T22:42:14.581,3.248,0.0154,OK
49,2026-08-07T22:42:14.832,3.3123,0.0643,OK
50,2026-08-07T22:42:15.081,3.2886,0.0237,OK
51,2026-08-07T22:42:15.332,3.3592,0.0706,OK
52,2026-08-07T22:42:15.580,3.6023,0.2431,OK
53,2026-08-07T22:42:15.830,3.4232,0.1791,OK
54,2026-08-07T22:42:16.080,3.2049,0.2183,OK
55,2026-08-07T22:42:16.330,3.5719,0.367,OK
56,2026-08-07T22:42:16.583,4.9648,1.3929,OK
57,2026-08-07T22:42:16.829,3.7163,1.2485,OK
58,2026-08-07T22:42:17.080,3.659,0.0573,OK
59,2026-08-07T22:42:17.328,3.4099,0.2491,OK
60,2026-08-07T22:42:17.578,3.5909,0.181,OK
61,2026-08-07T22:42:17.827,3.2042,0.3867,OK
62,2026-08-07T22:42:18.080,3.2926,0.0884,OK
63,2026-08-07T22:42:18.330,3.3846,0.092,OK
64,2026-08-07T22:42:18.578,3.466,0.0814,OK
65,2026-08-07T22:42:18.828,3.3541,0.1119,OK
66,2026-08-07T22:42:19.079,3.3524,0.0017,OK
67,2026-08-07T22:42:19.328,3.4258,0.0734,OK
68,2026-08-07T22:42:19.580,3.6109,0.1851,OK
69,2026-08-07T22:42:19.830,3.538,0.0729,OK
70,2026-08-07T22:42:20.081,3.4792,0.0588,OK
71,2026-08-07T22:42:20.331,3.4137,0.0655,OK
72,2026-08-07T22:42:20.583,3.3041,0.1096,OK
73,2026-08-07T22:42:20.834,3.8019,0.4978,OK
74,2026-08-07T22:42:21.086,3.2568,0.5451,OK
75,2026-08-07T22:42:21.325,7.4825,4.2257,OK
76,2026-08-07T22:42:21.572,3.2789,4.2036,OK
77,2026-08-07T22:42:21.823,3.7018,0.4229,OK
78,2026-08-07T22:42:22.073,3.5455,0.1563,OK
79,2026-08-07T22:42:22.324,3.871,0.3255,OK
80,2026-08-07T22:42:22.573,3.5808,0.2902,OK
81,2026-08-07T22:42:22.823,3.3641,0.2167,OK
82,2026-08-07T22:42:23.073,3.5121,0.148,OK
83,2026-08-07T22:42:23.328,3.1964,0.3157,OK
84,2026-08-07T22:42:23.581,3.142,0.0544,OK
85,2026-08-07T22:42:23.831,3.2401,0.0981,OK
86,2026-08-07T22:42:24.082,3.4175,0.1774,OK
87,2026-08-07T22:42:24.336,3.3243,0.0932,OK
88,2026-08-07T22:42:24.572,3.5729,0.2486,OK
89,2026-08-07T22:42:24.836,3.5504,0.0225,OK
90,2026-08-07T22:42:25.086,3.9611,0.4107,OK
91,2026-08-07T22:42:25.323,3.2531,0.708,OK
92,2026-08-07T22:42:25.575,3.7508,0.4977,OK
93,2026-08-07T22:42:25.826,3.45,0.3008,OK
94,2026-08-07T22:42:26.074,3.8731,0.4231,OK
95,2026-08-07T22:42:26.326,3.9027,0.0296,OK
96,2026-08-07T22:42:26.574,3.6974,0.2053,OK
97,2026-08-07T22:42:26.824,3.8373,0.1399,OK
98,2026-08-07T22:42:27.076,3.2378,0.5995,OK
99,2026-08-07T22:42:27.323,3.253,0.0152,OK
100,2026-08-07T22:42:27.575,3.4387,0.1857,OK
101,2026-08-07T22:42:27.826,3.5082,0.0695,OK
102,2026-08-07T22:42:28.075,3.1704,0.3378,OK
103,2026-08-07T22:42:28.328,3.156,0.0144,OK
104,2026-08-07T22:42:28.581,3.3557,0.1997,OK
105,2026-08-07T22:42:28.831,3.3233,0.0324,OK
106,2026-08-07T22:42:29.081,3.3178,0.0055,OK
107,2026-08-07T22:42:29.330,3.1999,0.1179,OK
108,2026-08-07T22:42:29.583,3.5212,0.3213,OK
109,2026-08-07T22:42:29.834,3.3561,0.1651,OK
110,2026-08-07T22:42:30.083,3.5699,0.2138,OK
111,2026-08-07T22:42:30.334,3.5322,0.0377,OK
112,2026-08-07T22:42:30.584,3.4826,0.0496,OK
113,2026-08-07T22:42:30.834,3.5494,0.0668,OK
114,2026-08-07T22:42:31.084,3.5213,0.0281,OK
115,2026-08-07T22:42:31.321,3.3054,0.2159,OK
116,2026-08-07T22:42:31.586,3.8926,0.5872,OK
117,2026-08-07T22:42:31.834,3.7729,0.1197,OK
118,2026-08-07T22:42:32.084,3.5071,0.2658,OK
119,2026-08-07T22:42:32.336,3.5321,0.025,OK
120,2026-08-07T22:42:32.585,3.8361,0.304,OK
121,2026-08-07T22:42:32.822,3.4938,0.3423,OK
122,2026-08-07T22:42:33.073,3.6349,0.1411,OK
123,2026-08-07T22:42:33.323,3.4101,0.2248,OK
124,2026-08-07T22:42:33.575,3.3228,0.0873,OK
125,2026-08-07T22:42:33.825,3.4728,0.15,OK
126,2026-08-07T22:42:34.076,3.64,0.1672,OK
127,2026-08-07T22:42:34.328,4.1317,0.4917,OK
128,2026-08-07T22:42:34.579,3.5227,0.609,OK
129,2026-08-07T22:42:34.832,3.5582,0.0355,OK
130,2026-08-07T22:42:35.082,3.5201,0.0381,OK
131,2026-08-07T22:42:35.333,3.2486,0.2715,OK
132,2026-08-07T22:42:35.584,3.2709,0.0223,OK
133,2026-08-07T22:42:35.836,3.2289,0.042,OK
134,2026-08-07T22:42:36.086,3.2645,0.0356,OK
135,2026-08-07T22:42:36.336,3.3976,0.1331,OK
136,2026-08-07T22:42:36.585,3.3861,0.0115,OK
137,2026-08-07T22:42:36.836,3.3133,0.0728,OK
138,2026-08-07T22:42:37.086,3.2226,0.0907,OK
139,2026-08-07T22:42:37.336,3.5054,0.2828,OK
140,2026-08-07T22:42:37.586,3.6844,0.179,OK
141,2026-08-07T22:42:37.835,3.6519,0.0325,OK
142,2026-08-07T22:42:38.084,3.1477,0.5042,OK
143,2026-08-07T22:42:38.335,3.8989,0.7512,OK
144,2026-08-07T22:42:38.585,3.3079,0.591,OK
145,2026-08-07T22:42:38.837,3.9273,0.6194,OK
146,2026-08-07T22:42:39.072,3.8457,0.0816,OK
147,2026-08-07T22:42:39.324,3.3653,0.4804,OK
148,2026-08-07T22:42:39.579,3.648,0.2827,OK
149,2026-08-07T22:42:39.831,3.945,0.297,OK
150,2026-08-07T22:42:40.081,3.3125,0.6325,OK
151,2026-08-07T22:42:40.330,3.6512,0.3387,OK
152,2026-08-07T22:42:40.582,3.8031,0.1519,OK
153,2026-08-07T22:42:40.830,3.436,0.3671,OK
154,2026-08-07T22:42:41.081,3.6517,0.2157,OK
155,2026-08-07T22:42:41.330,3.3442,0.3075,OK
156,2026-08-07T22:42:41.580,3.3628,0.0186,OK
157,2026-08-07T22:42:41.833,3.3774,0.0146,OK
158,2026-08-07T22:42:42.083,3.2452,0.1322,OK
159,2026-08-07T22:42:42.334,3.3841,0.1389,OK
160,2026-08-07T22:42:42.583,3.3805,0.0036,OK
161,2026-08-07T22:42:42.833,3.5733,0.1928,OK
162,2026-08-07T22:42:43.083,3.5964,0.0231,OK
163,2026-08-07T22:42:43.333,3.24,0.3564,OK
164,2026-08-07T22:42:43.580,3.286,0.046,OK
165,2026-08-07T22:42:43.829,3.1914,0.0946,OK
166,2026-08-07T22:42:44.079,3.7336,0.5422,OK
167,2026-08-07T22:42:44.329,3.3459,0.3877,OK
168,2026-08-07T22:42:44.579,3.2492,0.0967,OK
169,2026-08-07T22:42:44.830,3.66,0.4108,OK
170,2026-08-07T22:42:45.080,3.2929,0.3671,OK
171,2026-08-07T22:42:45.330,3.0813,0.2116,OK
172,2026-08-07T22:42:45.583,3.3693,0.288,OK
173,2026-08-07T22:42:45.834,3.2431,0.1262,OK
174,2026-08-07T22:42:46.084,3.227,0.0161,OK
175,2026-08-07T22:42:46.335,3.1564,0.0706,OK
176,2026-08-07T22:42:46.574,3.2819,0.1255,OK
177,2026-08-07T22:42:46.826,3.0958,0.1861,OK
178,2026-08-07T22:42:47.076,3.566,0.4702,OK
179,2026-08-07T22:42:47.328,3.6153,0.0493,OK
180,2026-08-07T22:42:47.581,3.9214,0.3061,OK
181,2026-08-07T22:42:47.830,3.5239,0.3975,OK
182,2026-08-07T22:42:48.081,3.3077,0.2162,OK
183,2026-08-07T22:42:48.333,3.3712,0.0635,OK
184,2026-08-07T22:42:48.584,3.5478,0.1766,OK
185,2026-08-07T22:42:48.821,3.5731,0.0253,OK
186,2026-08-07T22:42:49.074,3.3089,0.2642,OK
187,2026-08-07T22:42:49.326,3.5079,0.199,OK
188,2026-08-07T22:42:49.580,3.4923,0.0156,OK
189,2026-08-07T22:42:49.833,3.3016,0.1907,OK
190,2026-08-07T22:42:50.084,3.1102,0.1914,OK
191,2026-08-07T22:42:50.336,3.3133,0.2031,OK
192,2026-08-07T22:42:50.573,3.6134,0.3001,OK
193,2026-08-07T22:42:50.822,3.2608,0.3526,OK
194,2026-08-07T22:42:51.074,3.5565,0.2957,OK
195,2026-08-07T22:42:51.324,3.7496,0.1931,OK
196,2026-08-07T22:42:51.579,3.4439,0.3057,OK
197,2026-08-07T22:42:51.832,3.4006,0.0433,OK
198,2026-08-07T22:42:52.070,3.5725,0.1719,OK
199,2026-08-07T22:42:52.321,3.7423,0.1698,OK
200,2026-08-07T22:42:52.585,3.0873,0.655,OK
201,2026-08-07T22:42:52.836,3.3814,0.2941,OK
202,2026-08-07T22:42:53.073,3.6397,0.2583,OK
203,2026-08-07T22:42:53.323,3.2632,0.3765,OK
204,2026-08-07T22:42:53.572,3.5711,0.3079,OK
205,2026-08-07T22:42:53.824,3.9159,0.3448,OK
206,2026-08-07T22:42:54.077,3.6816,0.2343,OK
207,2026-08-07T22:42:54.328,3.4449,0.2367,OK
208,2026-08-07T22:42:54.580,3.8512,0.4063,OK
209,2026-08-07T22:42:54.830,3.5549,0.2963,OK
210,2026-08-07T22:42:55.079,3.5796,0.0247,OK
211,2026-08-07T22:42:55.329,3.5156,0.064,OK
212,2026-08-07T22:42:55.576,3.2094,0.3062,OK
213,2026-08-07T22:42:55.826,3.4434,0.234,OK
214,2026-08-07T22:42:56.077,3.4239,0.0195,OK
215,2026-08-07T22:42:56.326,3.3008,0.1231,OK
216,2026-08-07T22:42:56.578,3.2658,0.035,OK
217,2026-08-07T22:42:56.829,3.3208,0.055,OK
218,2026-08-07T22:42:57.078,3.1926,0.1282,OK
219,2026-08-07T22:42:57.332,3.508,0.3154,OK
